feature,mean_abs_shap
Age,0.0868268013890458
Standard PRS for alzheimer's disease (AD),0.014297646945481015
"Complications of surgical and medical care, not elsewhere classified_time",0.011183596919052007
Injury of nerves and spinal cord_time,0.010051750326649827
Dermatitis and eczema_time,0.009298929871976
Diseases of the ear and mastoid process_time,0.008474169077701411
Polyneuropathies and other disorders of the peripheral nervous system_time,0.005084384660149956
"Schizophrenia, schizotypal and delusional disorders_time",0.004380572271452123
Noninfective enteritis and colitis_time,0.004302825743855148
Sleep disorders_time,0.003557605127024697
Other degenerative diseases of the nervous system_time,0.0032271490965973455
Neoplasms of uncertain or unknown behaviour_time,0.0032066570239879313
Ischaemic heart diseases_time,0.002972845200361808
Inflammatory diseases of female pelvic organs_time,0.002825186562995496
Malignant neoplasm of male genital organs_time,0.0025586804326292656
"Schizophrenia, schizotypal and delusional disorders_present",0.0024563571362217532
Fracture involving multiple regions of lower limb_time,0.002387143574946541
Behavioural syndromes associated with physiological disturbances and physical factors_time,0.002155006664595933
"Diseases of arteries, arterioles and capillaries_time",0.001829235168886645
Disorders of choroid and retina_time,0.0018185190187134475
Burns and corrosions_time,0.00169902669896863
Migraine_time,0.0016299837204522822
Cerebrovascular diseases_time,0.0015480939321099283
"Dislocation, sprain and strain of joints and ligaments_time",0.0014901074188309576
Urolithiasis_time,0.0012911972298656315
Malignant neoplasm of digestive organs_time,0.0011064023088544264
Other acute lower respiratory infections_time,0.0010265322084204143
Heart failure_time,0.0009271964284372584
Factors influencing health status and contact with health services_time,0.0008346322654640047
Disorders of psychological development_time,0.0008138528687898518
Other joint disorders_time,0.000793507034084626
Other diseases of upper respiratory tract_time,0.000792532632687501
Cardiac arrhythmias_time,0.0007841885493446979
Infections of the skin and subcutaneous tissue_time,0.0007234286248048419
Symptoms and signs involving the digestive system and abdomen_time,0.0007180266170075722
Mood [affective] disorders_time,0.0007151526605838111
Other bacterial diseases_time,0.0007038091525259544
Mental retardation_time,0.0006943581407214013
Persons encountering health services in other circumstances_time,0.0006226282464621733
"Dislocation, sprain and strain of joints and ligaments_present",0.000613963059949502
Demyelinating diseases of the central nervous system_time,0.0005916826650610176
Disorders of nails and hair_time,0.0004890305339608255
"Poisoning by drugs, medicaments and biological substances_time",0.00042342501225279964
Epilepsy_time,0.00039414950241672064
"Diseases of oesophagus, stomach and duodenum_time",0.00038634412441028156
Hernia_time,0.0003853503512552442
Malignant neoplasm of respiratory and intrathoracic organs_time,0.0003601519203477472
Episodic and paroxysmal disorders_time,0.0003386667931792264
Acute upper respiratory infections_time,0.00031689664600551665
Other disorders of the nervous system_time,0.0002926071260460515
Other diseases of intestines_time,0.0002891198370390699
Malignant neoplasm of breast_time,0.00028745800260814795
Metabolic disorders_time,0.00027380695860535414
Neoplasms of uncertain or unknown behaviour_present,0.00018273625136151281
Disorders of conjunctiva_time,0.00018110346429306128
Congenital malformations of the digestive system_time,6.188344066455884e-05
Other diseases of the respiratory system_time,5.4902240802972266e-05
"Abnormal findings on examination of other body fluids, without diagnosis_time",5.29136250311496e-05
Other diseases of the digestive system_time,3.760047481577439e-05
Extrapyramidal and movement disorders_time,3.444546791554132e-05
Disorders of thyroid gland_time,0.0
Hypertensive diseases_time,0.0
Other diseases of blood and blood-forming organs_time,0.0
Effects of foreign body entering through natural orifice_time,0.0
